Province,Year,registered_employment,region,n_projects,total_budget_sar,known_budget_count,total_area_sqm,known_area_count,at_risk_count,pct_projects,pct_budget,at_risk_rate,total_budget_sar_billion,new_projects_this_year,budget_started_this_year,active_projects,active_budget,completed_this_year,announced_projects,announced_budget,sector_hhi,real_estate_growth,real_estate_vs_own_2023,Population,is_population_extrapolated
Jazan,2025,243084.0,Jazan,36,191180992731.0,30,142434353.0,21,7,4.3,9.94,19.44,191.18,0.0,0.0,20,118260054048.0,0.0,9,148478157.0,0.1995673336938886,-0.7999999999999999,1.00495,1455180.256910725,True
Makkah Al-Mokarramah,2017,2460823.0,Makkah Al-Mokarramah,246,726741448793.0,115,790339359.83,175,40,31.1,38.65,16.26,726.74,25.0,3462000000.0,156,632743946720.0,26.0,212,129859509667.0,0.16966334421930582,,,8019757.0,False
Makkah Al-Mokarramah,2018,2192186.0,Makkah Al-Mokarramah,252,726741448793.0,115,791407961.83,181,40,30.69,38.18,15.87,726.74,6.0,0.0,136,620047352740.0,20.0,212,129859509667.0,0.1690526389358059,,,7715338.0,False
Makkah Al-Mokarramah,2019,2096396.0,Makkah Al-Mokarramah,261,744861448793.0,117,807164109.83,189,40,31.22,38.73,15.33,744.86,9.0,18120000000.0,125,599532023693.0,10.0,212,129859509667.0,0.17095273883824025,,,7607556.0,False
Makkah Al-Mokarramah,2020,2064440.0,Makkah Al-Mokarramah,262,744861448793.0,117,807164109.83,189,40,31.3,38.73,15.27,744.86,1.0,0.0,116,581895079820.0,10.0,212,129859509667.0,0.17159903251814032,,,7982529.0,False
Makkah Al-Mokarramah,2021,2012069.0,Makkah Al-Mokarramah,262,744861448793.0,117,807164109.83,189,40,31.3,38.73,15.27,744.86,0.0,0.0,106,576345079820.0,4.0,212,129859509667.0,0.17159903251814032,,0.8824500000000001,7692188.0,False
Makkah Al-Mokarramah,2022,2047074.0,Makkah Al-Mokarramah,262,744861448793.0,117,807164109.83,189,40,31.3,38.73,15.27,744.86,0.0,0.0,102,530345079820.0,2.0,212,129859509667.0,0.17159903251814032,11.125,0.9808499999999999,8021463.0,False
Makkah Al-Mokarramah,2023,2139069.0,Makkah Al-Mokarramah,262,744861448793.0,117,807164109.83,189,40,31.3,38.73,15.27,744.86,0.0,0.0,100,485225079820.0,0.0,212,129859509667.0,0.17159903251814032,2.125,1.000025,8027551.9977798285,True
Makkah Al-Mokarramah,2024,2325002.0,Makkah Al-Mokarramah,262,744861448793.0,117,807164109.83,189,40,31.3,38.73,15.27,744.86,0.0,0.0,100,485225079820.0,2.0,212,129859509667.0,0.17159903251814032,-1.6,0.98395,8033645.617645923,True
Makkah Al-Mokarramah,2025,2375595.0,Makkah Al-Mokarramah,262,744861448793.0,117,807164109.83,189,40,31.3,38.73,15.27,744.86,0.0,0.0,98,481225079820.0,2.0,212,129859509667.0,0.17159903251814032,2.45,1.008075,8039743.863106853,True
